Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,Days on Market,City_atlanta,City_aurora,City_baltimore,City_denver,City_fort wayne,City_jacksonville,City_los angeles,City_orlando,City_tampa,City_washington,State_ca,State_co,State_dc,State_fl,State_ga,State_in,State_md,day_of_week_listed_Friday,day_of_week_listed_Monday,day_of_week_listed_Saturday,day_of_week_listed_Sunday,day_of_week_listed_Thursday,day_of_week_listed_Tuesday,day_of_week_listed_Wednesday
3417,-118.487495,34.068684,9760.0,4.0,3.0,1953.0,87.0,90049.0,109,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1463,-84.35172,33.841988,26136.0,3.0,2.0,1952.0,104.0,30324.0,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2736,-81.16792,28.600807,5803.0,5.0,3.0,2000.0,32.0,32826.0,55,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1416,-118.19743,34.03702,4399.0,4.0,3.0,1910.0,6.0,90063.0,32,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1700,-81.4872,28.579697,9759.0,4.0,2.0,1985.0,6.0,32818.0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2353,-104.69957,39.629726,5662.0,4.0,4.0,2009.0,143.0,80016.0,169,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
957,-82.43868,28.014448,6544.0,2.0,1.0,1958.0,6.0,33610.0,33,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
800,-84.440956,33.802593,1498.0,1.0,1.0,1960.0,160.0,30318.0,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2288,-104.775826,39.680046,6970.0,4.0,2.0,1981.0,2.0,80013.0,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
528,-118.27742,34.084274,1597.0,1.0,1.0,1924.0,16.0,90026.0,43,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1268,-81.173225,28.60636,6455.0,3.0,2.0,1996.0,50.0,32826.0,78,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1437,-81.415344,28.475605,9413.0,4.0,2.0,1968.0,5.0,32839.0,33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3110,-81.230225,28.52895,6152.0,5.0,3.0,2015.0,8.0,32825.0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1188,-77.013145,38.970726,3900.0,2.0,1.0,1924.0,142.0,20012.0,140,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
