State,Address,City,sale_price,sale_date,Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,listing_date,Days on Market
fl,14505 lycastle cir,orlando,237000,2019-10-17,1268,-81.173225,28.60636,6455.0,3.0,2.0,1996.0,50.0,32826.0,2019-07-31,78
fl,2805 fieldstone ct,orlando,242600,2019-10-17,1437,-81.415344,28.475605,9413.0,4.0,2.0,1968.0,5.0,32839.0,2019-09-14,33
fl,10828 cabbage tree loop,orlando,370000,2019-10-17,3110,-81.230225,28.52895,6152.0,5.0,3.0,2015.0,8.0,32825.0,2019-09-11,36
dc,6614 2nd st nw,washington,520000,2019-10-17,1188,-77.013145,38.970726,3900.0,2.0,1.0,1924.0,142.0,20012.0,2019-05-30,140
fl,213 s obrien st,tampa,745000,2019-10-17,3096,-82.532776,27.941618,11761.2,5.0,5.0,1964.0,110.0,33609.0,2019-06-07,132
fl,1708 santa maria pl,orlando,640000,2019-10-17,2965,-81.35819,28.530573,11761.2,4.0,3.0,1961.0,180.0,32806.0,2019-03-23,208
fl,9496 tawnyberry st,orlando,278000,2019-10-17,1773,-81.25185,28.426268,3111.0,3.0,3.0,2012.0,59.0,32832.0,2019-08-22,56
fl,11315 moonshine creek cir,orlando,270000,2019-10-18,1722,-81.23147,28.534021,9259.0,4.0,2.0,2002.0,5.0,32825.0,2019-09-14,34
fl,4756 appleton ave,jacksonville,185000,2019-10-18,2161,-81.72799,30.280228,11761.2,3.0,3.0,1942.0,45.0,32210.0,2019-08-05,74
fl,7720 grevillea dr,orlando,207000,2019-10-18,1369,-81.282234,28.493809,6974.0,3.0,1.0,1960.0,50.0,32822.0,2019-07-31,79
fl,13855 ibis point blvd,jacksonville,437500,2019-10-18,3028,-81.444664,30.312199,13503.6,4.0,3.0,1997.0,39.0,32224.0,2019-08-11,68
fl,2821 paine ln,orlando,127900,2019-10-18,1488,-81.190674,28.58659,6386.0,3.0,1.0,1959.0,2.0,32826.0,2019-10-06,12
fl,917 palm dr,orlando,263000,2019-10-21,927,-81.35548,28.557543,9621.0,2.0,1.0,1941.0,6.0,32803.0,2019-09-13,38
co,3005 s elmira ct,denver,410545,2019-10-21,2556,-104.87533,39.662037,9480.0,4.0,3.0,1969.0,62.0,80231.0,2019-07-19,94
ga,845 lee andrews ave se,atlanta,45000,2019-10-21,836,-84.361786,33.69762,14810.4,2.0,1.0,1948.0,155.0,30315.0,2019-04-17,187
ga,5610 lake island dr,sandy springs,995000,2019-10-21,3570,-84.3959,33.90868,44866.8,4.0,5.0,1966.0,51.0,30327.0,2019-07-30,83
in,1905 colony dr,fort wayne,110000,2019-10-21,1408,-85.11526,41.13463,22215.6,3.0,2.0,1960.0,3.0,46825.0,2019-09-16,35
ga,788 casplan st sw,atlanta,240000,2019-10-21,1600,-84.41386,33.707882,9962.0,3.0,3.0,1957.0,63.0,30310.0,2019-07-18,95
fl,15609 tolowa ct,orlando,264000,2019-10-22,1929,-81.153946,28.559708,5792.0,4.0,2.0,2006.0,120.0,32828.0,2019-05-22,153
co,8468 e 54th pl,denver,549700,2019-10-22,2344,-104.889694,39.795242,3712.0,3.0,4.0,2015.0,49.0,80238.0,2019-08-01,82
ca,1031 w 109th pl,los angeles,390003,2019-10-22,864,-118.293045,33.93667,5304.0,2.0,2.0,1949.0,76.0,90044.0,2019-07-05,109
md,501 n kenwood ave,baltimore,12500,2019-10-22,825,-76.577675,39.29701,1050.0,3.0,3.0,1902.0,44.0,21205.0,2019-08-07,76
co,2230 w elk pl,denver,310000,2019-10-22,889,-105.01356,39.782223,8750.0,2.0,1.0,1949.0,2.0,80211.0,2019-09-25,27
co,2405 s meade st,denver,445000,2019-10-22,1285,-105.03615,39.67346,6000.0,3.0,1.0,1955.0,3.0,80219.0,2019-09-16,36
in,7736 saddlewood dr,fort wayne,110000,2019-10-22,1256,-85.11709,41.151054,10400.0,3.0,2.0,1990.0,2.0,46825.0,2019-09-17,35
md,344 whitridge ave,baltimore,155000,2019-10-22,1232,-76.61143,39.321693,1044.0,3.0,2.0,1915.0,54.0,21218.0,2019-08-12,71
fl,1036 elder ln,jacksonville,1065000,2019-10-22,3663,-81.65211,30.30038,27442.8,5.0,4.0,1937.0,96.0,32207.0,2019-06-15,129
fl,756 james st,jacksonville,154900,2019-10-22,1224,-81.69929,30.317856,6061.0,3.0,1.0,1949.0,29.0,32205.0,2019-08-21,62
fl,1200 e esther st,orlando,295000,2019-10-22,1600,-81.36387,28.519194,7174.0,3.0,1.0,1924.0,59.0,32806.0,2019-07-22,92
fl,7606 pacific heights cir,orlando,220000,2019-10-22,1377,-81.487236,28.539497,7074.0,3.0,3.0,1990.0,8.0,32835.0,2019-09-11,41
fl,7158 hamilton park blvd,tampa,250000,2019-10-22,1720,-82.595276,28.016296,6000.0,4.0,2.0,2002.0,159.0,33615.0,2019-04-13,192
fl,13251 beebe aly,orlando,382200,2019-10-22,1788,-81.25779,28.375422,6403.0,3.0,3.0,2019.0,12.0,32827.0,2019-09-07,45
fl,2533 bluffton dr,jacksonville,250000,2019-10-23,1272,-81.443344,30.3,9321.0,3.0,2.0,1986.0,20.0,32224.0,2019-08-30,54
fl,4665 timuquana rd,jacksonville,59000,2019-10-23,1267,-81.702835,30.247904,8859.0,3.0,1.0,1942.0,57.0,32210.0,2019-07-24,91
ca,3812 la salle ave,los angeles,707007,2019-10-23,1056,-118.30535,34.017014,5408.0,3.0,2.0,1920.0,16.0,90062.0,2019-09-03,50
fl,4533 southfield ave,orlando,177000,2019-10-23,954,-81.31274,28.497942,3804.0,2.0,2.0,1984.0,5.0,32812.0,2019-09-14,39
co,4051 s narcissus way,denver,669000,2019-10-23,3608,-104.90754,39.643574,9700.0,4.0,3.0,1973.0,90.0,80237.0,2019-06-21,124
fl,1336 weston woods blvd,orlando,268000,2019-10-23,1942,-81.49746,28.557346,10458.0,3.0,2.0,1992.0,57.0,32818.0,2019-07-24,91
fl,1430 azalea dr,jacksonville,377500,2019-10-23,1736,-81.71437,30.298553,10655.0,3.0,2.0,1936.0,42.0,32205.0,2019-08-08,76
ga,70 meldon ave se,atlanta,109000,2019-10-24,1680,-84.38636,33.710907,7000.0,3.0,2.0,1920.0,180.0,30315.0,2019-03-24,214
